省份/直辖市,城市名称,城市类型,,,,,,,,,,
山西省,长治市,地级及以上城市,,,,,,,,,,
山西省,晋城市,地级及以上城市,,,,,,,,,,
山西省,晋中市,地级及以上城市,,,,,,,,,,
山西省,吕梁市,地级及以上城市,,,,,,,,,,
山西省,朔州市,地级及以上城市,,,,,,,,,,
山西省,古交市,县级市,,,,,,,,,,
山西省,怀仁市,县级市,,,,,,,,,,
山西省,高平市,县级市,,,,,,,,,,
山西省,忻州市,地级及以上城市,,,,,,,,,,
山西省,原平市,县级市,,,,,,,,,,
山西省,孝义市,县级市,,,,,,,,,,
山西省,汾阳市,县级市,,,,,,,,,,
山西省,介休市,县级市,,,,,,,,,,
山西省,临汾市,地级及以上城市,,,,,,,,,,
山西省,侯马市,县级市,,,,,,,,,,
山西省,霍州市,县级市,,,,,,,,,,
山西省,运城市,地级及以上城市,,,,,,,,,,
山西省,永济市,县级市,,,,,,,,,,
山西省,河津市,县级市,,,,,,,,,,
陕西省,西安市,地级及以上城市,,,,,,,,,,
陕西省,铜川市,地级及以上城市,,,,,,,,,,
陕西省,宝鸡市,地级及以上城市,,,,,,,,,,
陕西省,咸阳市,地级及以上城市,,,,,,,,,,
陕西省,渭南市,地级及以上城市,,,,,,,,,,
陕西省,延安市,地级及以上城市,,,,,,,,,,
陕西省,汉中市,地级及以上城市,,,,,,,,,,
陕西省,榆林市,地级及以上城市,,,,,,,,,,
陕西省,商洛市,地级及以上城市,,,,,,,,,,
陕西省,兴平市,县级市,,,,,,,,,,
陕西省,彬州市,县级市,,,,,,,,,,
陕西省,韩城市,县级市,,,,,,,,,,
陕西省,华阴市,县级市,,,,,,,,,,
陕西省,子长市,县级市,,,,,,,,,,
陕西省,旬阳市,县级市,,,,,,,,,,
陕西省,神木市,县级市,,,,,,,,,,
陕西省,安康市,地级及以上城市,,,,,,,,,,
上海市,上海市,地级及以上城市,,,,,,,,,,
四川省,成都市,地级及以上城市,,,,,,,,,,
四川省,自贡市,地级及以上城市,,,,,,,,,,
四川省,攀枝花市,地级及以上城市,,,,,,,,,,
四川省,泸州市,地级及以上城市,,,,,,,,,,
四川省,德阳市,地级及以上城市,,,,,,,,,,
四川省,绵阳市,地级及以上城市,,,,,,,,,,
四川省,广元市,地级及以上城市,,,,,,,,,,
四川省,遂宁市,地级及以上城市,,,,,,,,,,
四川省,内江市,地级及以上城市,,,,,,,,,,
四川省,乐山市,地级及以上城市,,,,,,,,,,
四川省,南充市,地级及以上城市,,,,,,,,,,
四川省,宜宾市,地级及以上城市,,,,,,,,,,
四川省,广安市,地级及以上城市,,,,,,,,,,
四川省,达州市,地级及以上城市,,,,,,,,,,
四川省,阿坝藏族羌族自治州,地级及以上城市,,,,,,,,,,
四川省,甘孜藏族自治州,地级及以上城市,,,,,,,,,,
四川省,凉山彝族自治州,地级及以上城市,,,,,,,,,,
四川省,眉山市,地级及以上城市,,,,,,,,,,
四川省,都江堰市,县级市,,,,,,,,,,
四川省,彭州市,县级市,,,,,,,,,,
四川省,邛崃市,县级市,,,,,,,,,,
四川省,崇州市,县级市,,,,,,,,,,
四川省,广汉市,县级市,,,,,,,,,,
四川省,什邡市,县级市,,,,,,,,,,
四川省,绵竹市,县级市,,,,,,,,,,
四川省,江油市,县级市,,,,,,,,,,
四川省,射洪市,县级市,,,,,,,,,,
四川省,隆昌市,县级市,,,,,,,,,,
四川省,马尔康市,县级市,,,,,,,,,,
四川省,康定市,县级市,,,,,,,,,,
四川省,峨眉山市,县级市,,,,,,,,,,
四川省,阆中市,县级市,,,,,,,,,,
四川省,华蓥市,县级市,,,,,,,,,,
四川省,万源市,县级市,,,,,,,,,,
四川省,雅安市,地级及以上城市,,,,,,,,,,
四川省,西昌市,县级市,,,,,,,,,,
四川省,巴中市,地级及以上城市,,,,,,,,,,
四川省,资阳市,地级及以上城市,,,,,,,,,,
四川省,会理市,县级市,,,,,,,,,,
四川省,简阳市,县级市,,,,,,,,,,
天津市,天津市,地级及以上城市,,,,,,,,,,
西藏,拉萨市,地级及以上城市,,,,,,,,,,
西藏,昌都市,地级及以上城市,,,,,,,,,,
西藏,林芝市,地级及以上城市,,,,,,,,,,
西藏,山南市,地级及以上城市,,,,,,,,,,
西藏,阿里地区,地级及以上城市,,,,,,,,,,
西藏,那曲市,地级及以上城市,,,,,,,,,,
西藏,日喀则市,地级及以上城市,,,,,,,,,,
西藏,错那市,县级市,,,,,,,,,,
西藏,米林市,县级市,,,,,,,,,,
新疆,乌鲁木齐市,地级及以上城市,,,,,,,,,,
新疆,克拉玛依市,地级及以上城市,,,,,,,,,,
新疆,吐鲁番市,地级及以上城市,,,,,,,,,,
新疆,哈密市,地级及以上城市,,,,,,,,,,
新疆,昌吉回族自治州,地级及以上城市,,,,,,,,,,
新疆,昌吉市,县级市,,,,,,,,,,
新疆,阜康市,县级市,,,,,,,,,,
新疆,博尔塔拉蒙古自治州,地级及以上城市,,,,,,,,,,
新疆,阿拉山口市,县级市,,,,,,,,,,
新疆,博乐市,县级市,,,,,,,,,,
新疆,巴音郭楞蒙古自治州,地级及以上城市,,,,,,,,,,
新疆,库尔勒市,县级市,,,,,,,,,,
新疆,阿克苏地区,地级及以上城市,,,,,,,,,,
新疆,库车市,县级市,,,,,,,,,,
新疆,阿克苏市,县级市,,,,,,,,,,
新疆,克孜勒苏柯尔克孜自治州,地级及以上城市,,,,,,,,,,
新疆,阿图什市,县级市,,,,,,,,,,
新疆,喀什地区,地级及以上城市,,,,,,,,,,
新疆,喀什市,县级市,,,,,,,,,,
新疆,和田地区,地级及以上城市,,,,,,,,,,
新疆,和田市,县级市,,,,,,,,,,
新疆,伊犁哈萨克自治州,地级及以上城市,,,,,,,,,,
新疆,奎屯市,县级市,,,,,,,,,,
新疆,伊宁市,县级市,,,,,,,,,,
新疆,霍尔果斯市,县级市,,,,,,,,,,
新疆,塔城地区,地级及以上城市,,,,,,,,,,
新疆,塔城市,县级市,,,,,,,,,,
新疆,乌苏市,县级市,,,,,,,,,,
新疆,沙湾市,县级市,,,,,,,,,,
新疆,阿勒泰地区,地级及以上城市,,,,,,,,,,
新疆,阿勒泰市,县级市,,,,,,,,,,
新疆,石河子市,县级市,,,,,,,,,,
新疆,阿拉尔市,县级市,,,,,,,,,,
新疆,图木舒克市,县级市,,,,,,,,,,
新疆,五家渠市,县级市,,,,,,,,,,
新疆,北屯市,县级市,,,,,,,,,,
新疆,铁门关市,县级市,,,,,,,,,,
新疆,双河市,县级市,,,,,,,,,,
新疆,可克达拉市,县级市,,,,,,,,,,
新疆,昆玉市,县级市,,,,,,,,,,
新疆,胡杨河市,县级市,,,,,,,,,,
新疆,新星市,县级市,,,,,,,,,,
新疆,白杨市,县级市,,,,,,,,,,
云南省,昆明市,地级及以上城市,,,,,,,,,,
云南省,曲靖市,地级及以上城市,,,,,,,,,,
云南省,玉溪市,地级及以上城市,,,,,,,,,,
云南省,丽江市,地级及以上城市,,,,,,,,,,
云南省,普洱市,地级及以上城市,,,,,,,,,,
云南省,昭通市,地级及以上城市,,,,,,,,,,
云南省,保山市,地级及以上城市,,,,,,,,,,
云南省,临沧市,地级及以上城市,,,,,,,,,,
云南省,楚雄彝族自治州,地级及以上城市,,,,,,,,,,
云南省,红河哈尼族彝族自治州,地级及以上城市,,,,,,,,,,
云南省,文山壮族苗族自治州,地级及以上城市,,,,,,,,,,
云南省,西双版纳傣族自治州,地级及以上城市,,,,,,,,,,
云南省,大理白族自治州,地级及以上城市,,,,,,,,,,
云南省,德宏傣族景颇族自治州,地级及以上城市,,,,,,,,,,
云南省,怒江傈僳族自治州,地级及以上城市,,,,,,,,,,
云南省,迪庆藏族自治州,地级及以上城市,,,,,,,,,,
云南省,安宁市,县级市,,,,,,,,,,
云南省,澄江市,县级市,,,,,,,,,,
云南省,水富市,县级市,,,,,,,,,,
云南省,腾冲市,县级市,,,,,,,,,,
云南省,宣威市,县级市,,,,,,,,,,
云南省,文山市,县级市,,,,,,,,,,
云南省,楚雄市,县级市,,,,,,,,,,
云南省,禄丰市,县级市,,,,,,,,,,
云南省,泸水市,县级市,,,,,,,,,,
云南省,香格里拉市,县级市,,,,,,,,,,
云南省,蒙自市,县级市,,,,,,,,,,
云南省,个旧市,县级市,,,,,,,,,,
云南省,开远市,县级市,,,,,,,,,,
云南省,弥勒市,县级市,,,,,,,,,,
云南省,景洪市,县级市,,,,,,,,,,
云南省,大理市,县级市,,,,,,,,,,
云南省,芒市,县级市,,,,,,,,,,
云南省,瑞丽市,县级市,,,,,,,,,,
浙江省,杭州市,地级及以上城市,,,,,,,,,,
浙江省,宁波市,地级及以上城市,,,,,,,,,,
浙江省,温州市,地级及以上城市,,,,,,,,,,
浙江省,嘉兴市,地级及以上城市,,,,,,,,,,
浙江省,湖州市,地级及以上城市,,,,,,,,,,
浙江省,绍兴市,地级及以上城市,,,,,,,,,,
浙江省,金华市,地级及以上城市,,,,,,,,,,
浙江省,衢州市,地级及以上城市,,,,,,,,,,
浙江省,舟山市,地级及以上城市,,,,,,,,,,
浙江省,台州市,地级及以上城市,,,,,,,,,,
浙江省,建德市,县级市,,,,,,,,,,
浙江省,余姚市,县级市,,,,,,,,,,
浙江省,慈溪市,县级市,,,,,,,,,,
浙江省,瑞安市,县级市,,,,,,,,,,
浙江省,龙港市,县级市,,,,,,,,,,
浙江省,乐清市,县级市,,,,,,,,,,
浙江省,海宁市,县级市,,,,,,,,,,
浙江省,平湖市,县级市,,,,,,,,,,
浙江省,桐乡市,县级市,,,,,,,,,,
浙江省,诸暨市,县级市,,,,,,,,,,
浙江省,嵊州市,县级市,,,,,,,,,,
浙江省,兰溪市,县级市,,,,,,,,,,
浙江省,义乌市,县级市,,,,,,,,,,
浙江省,东阳市,县级市,,,,,,,,,,
浙江省,永康市,县级市,,,,,,,,,,
浙江省,江山市,县级市,,,,,,,,,,
浙江省,温岭市,县级市,,,,,,,,,,
浙江省,玉环市,县级市,,,,,,,,,,
浙江省,临海市,县级市,,,,,,,,,,
浙江省,丽水市,地级及以上城市,,,,,,,,,,
浙江省,龙泉市,县级市,,,,,,,,,,
重庆市,重庆市,地级及以上城市,,,,,,,,,,
,,,,,,,,,,,,
